des,px,pz,stand,pitcher_name
Called Strike,0.374,2.625,Right-handed Batter,Clay Buchholz
Called Strike,0.836,2.884,Right-handed Batter,Clay Buchholz
Ball,1.366,2.44,Right-handed Batter,Clay Buchholz
Called Strike,1.066,2.758,Right-handed Batter,Clay Buchholz
Ball,0.51,0.946,Left-handed Batter,Clay Buchholz
Ball,0.242,0.956,Left-handed Batter,Clay Buchholz
Ball,-1.007,3.027,Left-handed Batter,Clay Buchholz
Ball,1.045,4.166,Left-handed Batter,Clay Buchholz
Ball,0.51,0.946,Left-handed Batter,Clay Buchholz
Ball,0.242,0.956,Left-handed Batter,Clay Buchholz
Ball,-1.007,3.027,Left-handed Batter,Clay Buchholz
Ball,1.045,4.166,Left-handed Batter,Clay Buchholz
Called Strike,0.753,2.357,Left-handed Batter,Clay Buchholz
Ball,1.574,1.064,Left-handed Batter,Clay Buchholz
Called Strike,0.753,2.357,Left-handed Batter,Clay Buchholz
Ball,1.574,1.064,Left-handed Batter,Clay Buchholz
Ball,0.208,3.862,Right-handed Batter,Clay Buchholz
Ball,0.208,3.862,Right-handed Batter,Clay Buchholz
Ball,0.787,3.399,Right-handed Batter,Clay Buchholz
Ball,0.787,3.399,Right-handed Batter,Clay Buchholz
Called Strike,0.056,2.143,Right-handed Batter,Clay Buchholz
Ball,1.075,1.425,Right-handed Batter,Clay Buchholz
Called Strike,0.056,2.143,Right-handed Batter,Clay Buchholz
Ball,1.075,1.425,Right-handed Batter,Clay Buchholz
Called Strike,1.294,2.423,Right-handed Batter,Clay Buchholz
Ball,1.715,1.302,Right-handed Batter,Clay Buchholz
Called Strike,1.294,2.423,Right-handed Batter,Clay Buchholz
Ball,1.715,1.302,Right-handed Batter,Clay Buchholz
Called Strike,0.892,2.123,Right-handed Batter,Clay Buchholz
Ball,1.362,0.781,Right-handed Batter,Clay Buchholz
Called Strike,1.024,1.801,Right-handed Batter,Clay Buchholz
Called Strike,0.892,2.123,Right-handed Batter,Clay Buchholz
Ball,1.362,0.781,Right-handed Batter,Clay Buchholz
Called Strike,1.024,1.801,Right-handed Batter,Clay Buchholz
Ball,0.306,4.572,Left-handed Batter,Clay Buchholz
Called Strike,-0.21,2.416,Left-handed Batter,Clay Buchholz
Ball,0.878,2.448,Left-handed Batter,Clay Buchholz
Ball,0.306,4.572,Left-handed Batter,Clay Buchholz
Called Strike,-0.21,2.416,Left-handed Batter,Clay Buchholz
Ball,0.878,2.448,Left-handed Batter,Clay Buchholz
Ball,0.758,0.59,Right-handed Batter,Clay Buchholz
Called Strike,0.229,1.98,Right-handed Batter,Clay Buchholz
Ball,0.758,0.59,Right-handed Batter,Clay Buchholz
Called Strike,0.229,1.98,Right-handed Batter,Clay Buchholz
Ball,1.514,2.75,Right-handed Batter,Clay Buchholz
Ball,1.916,1.838,Right-handed Batter,Clay Buchholz
Ball,1.514,2.75,Right-handed Batter,Clay Buchholz
Ball,1.916,1.838,Right-handed Batter,Clay Buchholz
Called Strike,0.244,2.596,Right-handed Batter,Clay Buchholz
Ball,1.828,1.478,Right-handed Batter,Clay Buchholz
Ball,0.873,0.926,Right-handed Batter,Clay Buchholz
Called Strike,0.244,2.596,Right-handed Batter,Clay Buchholz
Ball,1.828,1.478,Right-handed Batter,Clay Buchholz
Ball,0.873,0.926,Right-handed Batter,Clay Buchholz
Called Strike,-0.007,1.839,Left-handed Batter,Clay Buchholz
Called Strike,-0.007,1.839,Left-handed Batter,Clay Buchholz
Called Strike,0.431,3.147,Left-handed Batter,Clay Buchholz
Ball,0.557,1.614,Left-handed Batter,Clay Buchholz
Ball,-0.711,3.216,Left-handed Batter,Clay Buchholz
Ball,-0.754,3.204,Left-handed Batter,Clay Buchholz
Called Strike,0.613,2.828,Left-handed Batter,Clay Buchholz
Called Strike,0.431,3.147,Left-handed Batter,Clay Buchholz
Ball,0.557,1.614,Left-handed Batter,Clay Buchholz
Ball,-0.711,3.216,Left-handed Batter,Clay Buchholz
Ball,-0.754,3.204,Left-handed Batter,Clay Buchholz
Called Strike,0.613,2.828,Left-handed Batter,Clay Buchholz
Ball,0.342,1.27,Left-handed Batter,Clay Buchholz
Ball,-1.45,2.748,Left-handed Batter,Clay Buchholz
Ball,0.141,1.255,Left-handed Batter,Clay Buchholz
Ball,-0.499,3.494,Left-handed Batter,Clay Buchholz
Ball,0.342,1.27,Left-handed Batter,Clay Buchholz
Ball,-1.45,2.748,Left-handed Batter,Clay Buchholz
Ball,0.141,1.255,Left-handed Batter,Clay Buchholz
Ball,-0.499,3.494,Left-handed Batter,Clay Buchholz
Called Strike,0.446,2.302,Left-handed Batter,Clay Buchholz
Called Strike,0.446,2.302,Left-handed Batter,Clay Buchholz
Ball,1.301,1.346,Left-handed Batter,Clay Buchholz
Ball,1.301,1.346,Left-handed Batter,Clay Buchholz
Called Strike,-0.256,2.928,Right-handed Batter,Clay Buchholz
Called Strike,-0.256,2.928,Right-handed Batter,Clay Buchholz
Called Strike,0.516,2.398,Left-handed Batter,Clay Buchholz
Called Strike,-0.616,1.952,Left-handed Batter,Clay Buchholz
Ball,-1.563,3.899,Left-handed Batter,Clay Buchholz
Called Strike,0.516,2.398,Left-handed Batter,Clay Buchholz
Called Strike,-0.616,1.952,Left-handed Batter,Clay Buchholz
Ball,-1.563,3.899,Left-handed Batter,Clay Buchholz
Ball,-0.07,1.163,Right-handed Batter,Clay Buchholz
Called Strike,-0.065,2.031,Right-handed Batter,Clay Buchholz
Ball,1.045,1.153,Right-handed Batter,Clay Buchholz
Called Strike,0.229,2.554,Right-handed Batter,Clay Buchholz
Ball,-0.07,1.163,Right-handed Batter,Clay Buchholz
Called Strike,-0.065,2.031,Right-handed Batter,Clay Buchholz
Ball,1.045,1.153,Right-handed Batter,Clay Buchholz
Called Strike,0.229,2.554,Right-handed Batter,Clay Buchholz
Ball,0.063,3.513,Left-handed Batter,Clay Buchholz
Called Strike,-0.966,2.426,Left-handed Batter,Clay Buchholz
Called Strike,-0.143,3.099,Left-handed Batter,Clay Buchholz
Ball,0.091,1.19,Left-handed Batter,Clay Buchholz
Ball,1.835,1.658,Left-handed Batter,Clay Buchholz
Ball,0.247,4.8,Left-handed Batter,Clay Buchholz
Ball,0.063,3.513,Left-handed Batter,Clay Buchholz
Called Strike,-0.966,2.426,Left-handed Batter,Clay Buchholz
Called Strike,-0.143,3.099,Left-handed Batter,Clay Buchholz
Ball,0.091,1.19,Left-handed Batter,Clay Buchholz
Ball,1.835,1.658,Left-handed Batter,Clay Buchholz
Ball,0.247,4.8,Left-handed Batter,Clay Buchholz
Called Strike,-0.768,2.726,Left-handed Batter,Clay Buchholz
Ball,0.749,0.721,Left-handed Batter,Clay Buchholz
Ball,0.003,1.102,Left-handed Batter,Clay Buchholz
Called Strike,-0.063,1.942,Left-handed Batter,Clay Buchholz
Ball,1.193,1.051,Left-handed Batter,Clay Buchholz
Ball,1.129,1.706,Left-handed Batter,Clay Buchholz
Called Strike,-0.768,2.726,Left-handed Batter,Clay Buchholz
Ball,0.749,0.721,Left-handed Batter,Clay Buchholz
Ball,0.003,1.102,Left-handed Batter,Clay Buchholz
Called Strike,-0.063,1.942,Left-handed Batter,Clay Buchholz
Ball,1.193,1.051,Left-handed Batter,Clay Buchholz
Ball,1.129,1.706,Left-handed Batter,Clay Buchholz
Called Strike,0.873,2.039,Right-handed Batter,Clay Buchholz
Called Strike,0.935,1.818,Right-handed Batter,Clay Buchholz
Called Strike,0.873,2.039,Right-handed Batter,Clay Buchholz
Called Strike,0.935,1.818,Right-handed Batter,Clay Buchholz
Called Strike,0.56,2.354,Left-handed Batter,Clay Buchholz
Called Strike,0.56,2.354,Left-handed Batter,Clay Buchholz
Ball,1.236,3.154,Left-handed Batter,Clay Buchholz
Called Strike,-0.74,2.906,Left-handed Batter,Clay Buchholz
Ball,1.236,3.154,Left-handed Batter,Clay Buchholz
Called Strike,-0.74,2.906,Left-handed Batter,Clay Buchholz
Ball,0.027,3.418,Left-handed Batter,Clay Buchholz
Called Strike,-0.162,2.137,Left-handed Batter,Clay Buchholz
Called Strike,0.845,2.245,Left-handed Batter,Clay Buchholz
Ball,0.027,3.418,Left-handed Batter,Clay Buchholz
Called Strike,-0.162,2.137,Left-handed Batter,Clay Buchholz
Called Strike,0.845,2.245,Left-handed Batter,Clay Buchholz
Called Strike,0.273,3.162,Right-handed Batter,Clay Buchholz
Ball,2.19,0.912,Right-handed Batter,Clay Buchholz
Ball,1.54,1.599,Right-handed Batter,Clay Buchholz
Ball,1.795,1.765,Right-handed Batter,Clay Buchholz
Called Strike,0.948,2.284,Right-handed Batter,Clay Buchholz
Called Strike,0.273,3.162,Right-handed Batter,Clay Buchholz
Ball,2.19,0.912,Right-handed Batter,Clay Buchholz
Ball,1.54,1.599,Right-handed Batter,Clay Buchholz
Ball,1.795,1.765,Right-handed Batter,Clay Buchholz
Called Strike,0.948,2.284,Right-handed Batter,Clay Buchholz
Ball,-0.862,3.463,Left-handed Batter,Clay Buchholz
Ball,0.357,3.674,Left-handed Batter,Clay Buchholz
Ball,1.572,1.743,Left-handed Batter,Clay Buchholz
Called Strike,-0.168,2.535,Left-handed Batter,Clay Buchholz
Ball,-0.175,3.906,Left-handed Batter,Clay Buchholz
Ball,-0.862,3.463,Left-handed Batter,Clay Buchholz
Ball,0.357,3.674,Left-handed Batter,Clay Buchholz
Ball,1.572,1.743,Left-handed Batter,Clay Buchholz
Called Strike,-0.168,2.535,Left-handed Batter,Clay Buchholz
Ball,-0.175,3.906,Left-handed Batter,Clay Buchholz
Called Strike,-0.302,3.201,Right-handed Batter,Clay Buchholz
Called Strike,-0.302,3.201,Right-handed Batter,Clay Buchholz
Ball,-0.397,0.863,Left-handed Batter,Clay Buchholz
Ball,-0.397,0.863,Left-handed Batter,Clay Buchholz
Ball,1.612,2.019,Left-handed Batter,Clay Buchholz
Ball,1.612,2.019,Left-handed Batter,Clay Buchholz
Ball,-0.659,3.554,Left-handed Batter,Clay Buchholz
Ball,-0.523,1.507,Left-handed Batter,Clay Buchholz
Ball,-1.739,2.254,Left-handed Batter,Clay Buchholz
Called Strike,0.096,2.441,Left-handed Batter,Clay Buchholz
Called Strike,0.659,3.003,Left-handed Batter,Clay Buchholz
Ball,-0.659,3.554,Left-handed Batter,Clay Buchholz
Ball,-0.523,1.507,Left-handed Batter,Clay Buchholz
Ball,-1.739,2.254,Left-handed Batter,Clay Buchholz
Called Strike,0.096,2.441,Left-handed Batter,Clay Buchholz
Called Strike,0.659,3.003,Left-handed Batter,Clay Buchholz
Ball,1.735,1.923,Right-handed Batter,Clay Buchholz
Called Strike,0.784,2.374,Right-handed Batter,Clay Buchholz
Ball,2.062,2.493,Right-handed Batter,Clay Buchholz
Called Strike,0.8,2.086,Right-handed Batter,Clay Buchholz
Ball,1.735,1.923,Right-handed Batter,Clay Buchholz
Called Strike,0.784,2.374,Right-handed Batter,Clay Buchholz
Ball,2.062,2.493,Right-handed Batter,Clay Buchholz
Called Strike,0.8,2.086,Right-handed Batter,Clay Buchholz
Ball,0.285,0.906,Right-handed Batter,Clay Buchholz
Ball,-1.146,2.322,Right-handed Batter,Clay Buchholz
Ball,-1.262,2.53,Right-handed Batter,Clay Buchholz
Ball,-1.018,3.552,Right-handed Batter,Clay Buchholz
Ball,0.285,0.906,Right-handed Batter,Clay Buchholz
Ball,-1.146,2.322,Right-handed Batter,Clay Buchholz
Ball,-1.262,2.53,Right-handed Batter,Clay Buchholz
Ball,-1.018,3.552,Right-handed Batter,Clay Buchholz
